Date,Open,High,Low,Close,Adj Close,Volume
01/12/2020,67.290001,67.980003,66.889999,67.809998,67.809998,1532200
02/12/2020,67.279999,68.129997,67.18,68,68,849300
03/12/2020,68.940002,69.410004,68.449997,68.910004,68.910004,889600
04/12/2020,70.709999,70.870003,70.220001,70.540001,70.540001,2044900
07/12/2020,70.260002,70.349998,69.809998,70.029999,70.029999,724600
08/12/2020,69.879997,70.419998,69.650002,69.82,69.82,942800
09/12/2020,70.209999,70.660004,69.93,70.470001,70.470001,854100
10/12/2020,70.739998,71.309998,70.360001,70.760002,70.760002,1069800
11/12/2020,69.639999,69.889999,68.900002,69.639999,69.639999,833300
14/12/2020,69.949997,70.610001,69.639999,70,70,1590900
15/12/2020,69.949997,70.739998,69.75,70.739998,70.739998,1748600
16/12/2020,70.050003,70.470001,69.860001,70.18,70.18,1795600
17/12/2020,70.839996,72.099998,70.830002,71.449997,71.449997,1499900
18/12/2020,70.739998,71.720001,70.739998,71.5,71.5,2294700
21/12/2020,68.410004,70.029999,68.410004,70.010002,70.010002,2938300
22/12/2020,69.400002,70.080002,69.339996,69.650002,69.650002,1310400
23/12/2020,70.800003,71.57,70.449997,70.5,70.5,1831500
24/12/2020,71,71.07,70.190002,70.550003,70.550003,941000
28/12/2020,71.209999,71.599998,70.480003,70.57,70.57,1410400
29/12/2020,71.290001,71.860001,70.879997,70.989998,70.989998,1638300
30/12/2020,70.949997,71.360001,70.519997,70.650002,70.650002,961400
31/12/2020,70.269997,70.370003,69.459999,69.910004,69.910004,821600
04/01/2021,71.779999,71.830002,69.389999,69.769997,69.769997,1597500
05/01/2021,70,71.050003,69.790001,70.75,70.75,1235200
06/01/2021,71.599998,72.410004,71.269997,71.830002,71.830002,1417800
07/01/2021,71.779999,71.900002,70.900002,71.199997,71.199997,1071400
08/01/2021,70.68,71.220001,70.190002,71.080002,71.080002,933200
11/01/2021,69,69.419998,68.529999,69.110001,69.110001,1687800
12/01/2021,68.580002,69.150002,68.470001,69,69,2237000
13/01/2021,68.720001,69.379997,68.620003,69.07,69.07,2405100
14/01/2021,69.360001,69.660004,68.800003,69.349998,69.349998,1372400
15/01/2021,68.43,68.989998,67.959999,68.639999,68.639999,1895900
19/01/2021,69.050003,69.18,68.080002,68.339996,68.339996,1025100
20/01/2021,68.290001,68.360001,67.839996,68.300003,68.300003,994100
21/01/2021,67.5,67.940002,67.199997,67.809998,67.809998,1212700
22/01/2021,66.620003,67.019997,66.349998,66.610001,66.610001,1298700
25/01/2021,64.75,64.93,64.18,64.699997,64.699997,1831600
26/01/2021,64.620003,65.220001,64.440002,65.139999,65.139999,1264500
27/01/2021,63.330002,64.279999,62.919998,63.459999,63.459999,1973900
28/01/2021,64.099998,65.699997,63.950001,65.019997,65.019997,1495200
29/01/2021,64.260002,64.260002,62.529999,62.689999,62.689999,2049900
01/02/2021,64.43,64.43,63.450001,63.880001,63.880001,1028400
02/02/2021,65.669998,66.139999,65.389999,65.879997,65.879997,1385500
03/02/2021,65.419998,65.720001,64.790001,65.449997,65.449997,916900
04/02/2021,65.400002,65.57,64.910004,65.550003,65.550003,997300
05/02/2021,65.940002,66.199997,65.449997,65.629997,65.629997,2318700
08/02/2021,65.349998,65.769997,64.889999,65.07,65.07,1667400
09/02/2021,64.849998,65.279999,64.419998,64.699997,64.699997,2255600
10/02/2021,65.18,65.360001,64.290001,64.5,64.5,2468900
11/02/2021,64.580002,64.660004,63.529999,63.740002,63.740002,2062800
12/02/2021,63.740002,63.75,63.189999,63.560001,63.560001,2345400
16/02/2021,64.870003,64.93,64.239998,64.730003,64.730003,1787700
17/02/2021,64.449997,64.5,63.880001,64.330002,64.330002,1574500
18/02/2021,63.450001,63.990002,63.169998,63.900002,63.900002,1220200
19/02/2021,64.699997,65.110001,64.43,64.459999,64.459999,1062500
22/02/2021,63.610001,64.779999,63.549999,64.349998,64.349998,1396300
